 População Residente - Estimativas para o TCU - Brasil
População estimada por Unidade da Federação e Ano
Período:1992-1995, 1997-2019
"50 Mato Grosso do Sul";1818175;1850162;1881868;1912788;1964603;1995578;2026600;2057734;2111036;2140624;2169688;2230702;2264468;2297981;2265813;2336058;2360498;2449341;2477542;2505088;2587269;2619657;2651235;2682386;2713147;2748023;2778986
"51 Mato Grosso";2107698;2178178;2246757;2313634;2287846;2331663;2375549;2419591;2560584;2604742;2651335;2749145;2803274;2856999;2854642;2957732;3001692;3033991;3075936;3115336;3182113;3224357;3265486;3305531;3344544;3441998;3484466
"52 Goiás";4098513;4171489;4240812;4308415;4639785;4744174;4848725;4953650;5116462;5210335;5306459;5508245;5619917;5730753;5647035;5844996;5926300;6004045;6080716;6154996;6434048;6523222;6610681;6695855;6778772;6921161;7018354
"53 Distrito Federal";1639035;1673151;1705889;1737813;1877015;1923406;1969868;2016497;2097447;2145839;2189789;2282049;2333108;2383784;2455903;2557158;2606885;2562963;2609998;2648532;2789761;2852372;2914830;2977216;3039444;2974703;3015268
"Total";149236984;151571727;153725670;155822440;159636413;161790311;163947554;166112518;172385826;174632960;176871437;181581024;184184264;186770562;184014516;189612814;191506729;190732694;192379287;193976530;201062789;202799518;204482459;206114067;207660929;208494900;210147125
 Fonte: IBGE - Estimativas de população
 Notas:
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 projeções intercensitárias segundo faixa etária e sexo,
 devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes e situações especiais.
 Devido a decisões judiciais, as populações apresentadas para alguns municípios não é a estimada pelo IBGE. Em decorrência desta situação,
 os totais apresentados para Unidades da Federação e para o Brasil podem também não corresponder ao estimado pelo IBGE. Veja também a
 nota técnica.
 
